(Click me, if I am too big copy and paste me into a spreadsheet or text editor)
		OBJECT NAME	LIGHTMAP INDEX	STATIC	OVERLAPPING SUBMESHES	OUT-OF-BOUNDS UVs	NUM MATS	MATERIAL	WARNINGS
		J1_67 (42412 verts)	-1	False	False	False	1	[J1_1 (UnityEngine.Material)] 	
		J1_68 (104 verts)	-1	False	False	False	1	[J1_1 (UnityEngine.Material)] 	
		J1_4 (64696 verts)	-1	False	False	False	1	[J1_4 (UnityEngine.Material)] 	
		J1_48 (34340 verts)	-1	False	False	False	1	[J1_9 (UnityEngine.Material)] 	
		J1_76 (98691 verts)	-1	False	False	False	1	[J1_7 (UnityEngine.Material)] 	
		J1_32 (129996 verts)	-1	False	False	False	1	[J1_7 (UnityEngine.Material)] 	
		J1_58 (16516 verts)	-1	False	False	False	1	[J1_4 (UnityEngine.Material)] 	
		J1_59 (38734 verts)	-1	False	False	False	1	[J1_3 (UnityEngine.Material)] 	
		J1_61 (71499 verts)	-1	False	False	False	1	[J1_2 (UnityEngine.Material)] 	
		J1_72 (67077 verts)	-1	False	False	False	1	[J1_1 (UnityEngine.Material)] 	
		J1_70 (210 verts)	-1	False	False	False	1	[J1_1 (UnityEngine.Material)] 	
		J1_80 (158830 verts)	-1	False	False	False	1	[J1_3 (UnityEngine.Material)] 	
		J1_19 (38390 verts)	-1	False	False	False	1	[J1_1 (UnityEngine.Material)] 	
		J1_54 (31884 verts)	-1	False	False	False	1	[J1_5 (UnityEngine.Material)] 	
		J1_71 (15099 verts)	-1	False	False	False	1	[J1_1 (UnityEngine.Material)] 	
		J1_41 (2309 verts)	-1	False	False	False	1	[J1_3 (UnityEngine.Material)] 	
		J1_77 (108322 verts)	-1	False	False	False	1	[J1_6 (UnityEngine.Material)] 	
		J1_1 (100873 verts)	-1	False	False	False	1	[J1_1 (UnityEngine.Material)] 	
		J1_37 (32222 verts)	-1	False	False	False	1	[J1_9 (UnityEngine.Material)] 	
		J1_24 (38734 verts)	-1	False	False	False	1	[J1_3 (UnityEngine.Material)] 	
		J1_73 (82043 verts)	-1	False	False	False	1	[J1_10 (UnityEngine.Material)] 	
		J1_50 (51456 verts)	-1	False	False	False	1	[J1_8 (UnityEngine.Material)] 	
		J1_2 (2416 verts)	-1	False	False	False	1	[J1_2 (UnityEngine.Material)] 	
		J1_78 (1636 verts)	-1	False	False	False	1	[J1_5 (UnityEngine.Material)] 	
		J1_42 (2309 verts)	-1	False	False	False	1	[J1_3 (UnityEngine.Material)] 	
		J1_65 (21399 verts)	-1	False	False	False	1	[J1_1 (UnityEngine.Material)] 	
		J1_49 (6474 verts)	-1	False	False	False	1	[J1_9 (UnityEngine.Material)] 	
		J1_12 (15099 verts)	-1	False	False	False	1	[J1_1 (UnityEngine.Material)] 	
		J1_36 (5607 verts)	-1	False	False	False	1	[J1_9 (UnityEngine.Material)] 	
		J1_29 (31884 verts)	-1	False	False	False	1	[J1_5 (UnityEngine.Material)] 	
		J1_75 (162870 verts)	-1	False	False	False	1	[J1_8 (UnityEngine.Material)] 	
		J1_81 (2416 verts)	-1	False	False	False	1	[J1_2 (UnityEngine.Material)] 	
		J1_16 (42412 verts)	-1	False	False	False	1	[J1_1 (UnityEngine.Material)] 	
		J1_3 (158830 verts)	-1	False	False	False	1	[J1_3 (UnityEngine.Material)] 	
		J1_22 (71499 verts)	-1	False	False	False	1	[J1_2 (UnityEngine.Material)] 	
		J1_5 (1636 verts)	-1	False	False	False	1	[J1_5 (UnityEngine.Material)] 	
		J1_15 (104 verts)	-1	False	False	False	1	[J1_1 (UnityEngine.Material)] 	
		J1_7 (98691 verts)	-1	False	False	False	1	[J1_7 (UnityEngine.Material)] 	
		J1_66 (44392 verts)	-1	False	False	False	1	[J1_1 (UnityEngine.Material)] 	
		J1_30 (20250 verts)	-1	False	False	False	1	[J1_6 (UnityEngine.Material)] 	
		J1_51 (129996 verts)	-1	False	False	False	1	[J1_7 (UnityEngine.Material)] 	
		J1_34 (6474 verts)	-1	False	False	False	1	[J1_9 (UnityEngine.Material)] 	
		J1_43 (5453 verts)	-1	False	False	False	1	[J1_10 (UnityEngine.Material)] 	
		J1_79 (64696 verts)	-1	False	False	False	1	[J1_4 (UnityEngine.Material)] 	
		J1_64 (38390 verts)	-1	False	False	False	1	[J1_1 (UnityEngine.Material)] 	
		J1_35 (34340 verts)	-1	False	False	False	1	[J1_9 (UnityEngine.Material)] 	
		J1_39 (90836 verts)	-1	False	False	False	1	[J1_10 (UnityEngine.Material)] 	
		J1_82 (100873 verts)	-1	False	False	False	1	[J1_1 (UnityEngine.Material)] 	
		J1_10 (82043 verts)	-1	False	False	False	1	[J1_10 (UnityEngine.Material)] 	
		J1_17 (44392 verts)	-1	False	False	False	1	[J1_1 (UnityEngine.Material)] 	
		J1_52 (3396 verts)	-1	False	False	False	1	[J1_7 (UnityEngine.Material)] 	
		J1_47 (5607 verts)	-1	False	False	False	1	[J1_9 (UnityEngine.Material)] 	
		J1_8 (162870 verts)	-1	False	False	False	1	[J1_8 (UnityEngine.Material)] 	
		J1_56 (72272 verts)	-1	False	False	False	1	[J1_5 (UnityEngine.Material)] 	
		J1_38 (41629 verts)	-1	False	False	False	1	[J1_10 (UnityEngine.Material)] 	
		J1_13 (210 verts)	-1	False	False	False	1	[J1_1 (UnityEngine.Material)] 	
		J1_44 (90836 verts)	-1	False	False	False	1	[J1_10 (UnityEngine.Material)] 	
		J1_27 (72272 verts)	-1	False	False	False	1	[J1_5 (UnityEngine.Material)] 	
		J1_53 (20250 verts)	-1	False	False	False	1	[J1_6 (UnityEngine.Material)] 	
		J1_9 (65519 verts)	-1	False	False	False	1	[J1_9 (UnityEngine.Material)] 	
		J1_57 (32198 verts)	-1	False	False	False	1	[J1_4 (UnityEngine.Material)] 	
		J1_74 (65519 verts)	-1	False	False	False	1	[J1_9 (UnityEngine.Material)] 	
		J1_23 (2239 verts)	-1	False	False	False	1	[J1_2 (UnityEngine.Material)] 	
